Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ,
Atlanta Hawks,NBA,1950,2016,67,5277,2632,2645,.499,44,11,0,1,
Boston Celtics,NBA/BAA,1947,2016,70,5449,3204,2245,.588,52,30,9,17,
Brooklyn Nets,NBA/ABA,1968,2016,49,3946,1726,2220,.437,26,5,2,2,
Charlotte Hornets,NBA,1989,2016,26,2053,893,1160,.435,9,0,0,0,
Chicago Bulls,NBA,1967,2016,50,4019,2100,1919,.523,34,9,6,6,
Cleveland Cavaliers,NBA,1971,2016,46,3692,1707,1985,.462,19,4,2,0,
Dallas Mavericks,NBA,1981,2016,36,2876,1469,1407,.511,20,3,2,1,
Denver Nuggets,NBA/ABA,1968,2016,49,3946,1964,1982,.498,33,10,0,0,
Detroit Pistons,NBA/BAA,1949,2016,68,5338,2599,2739,.487,40,11,5,3,
Golden State Warriors,NBA/BAA,1947,2016,70,5442,2563,2879,.471,31,8,2,4,
Houston Rockets,NBA,1968,2016,49,3941,2038,1903,.517,29,5,4,2,
Indiana Pacers,NBA/ABA,1968,2016,49,3944,2015,1929,.511,31,9,1,3,
Los Angeles Clippers,NBA,1971,2016,46,3693,1450,2243,.393,11,2,0,0,
Los Angeles Lakers,NBA/BAA,1949,2016,68,5340,3229,2111,.605,60,32,18,16,
Memphis Grizzlies,NBA,1996,2016,21,1643,682,961,.415,8,0,0,0,
Miami Heat,NBA,1989,2016,28,2218,1151,1067,.519,18,11,5,3,
Milwaukee Bucks,NBA,1969,2016,48,3858,1970,1888,.511,28,13,2,1,
Minnesota Timberwolves,NBA,1990,2016,27,2136,834,1302,.390,8,1,0,0,
New Orleans Pelicans,NBA,2003,2016,14,1100,516,584,.469,6,1,0,0,
New York Knicks,NBA/BAA,1947,2016,70,5447,2692,2755,.494,42,8,4,2,
Oklahoma City Thunder,NBA,1968,2016,49,3940,2122,1818,.539,27,10,4,1,
Orlando Magic,NBA,1990,2016,27,2134,1049,1085,.492,14,5,2,0,
Philadelphia 76ers,NBA,1950,2016,67,5273,2724,2549,.517,47,11,5,3,
Phoenix Suns,NBA,1969,2016,48,3858,2113,1745,.548,29,6,2,0,
Portland Trail Blazers,NBA,1971,2016,46,3694,1972,1722,.534,31,5,3,1,
Sacramento Kings,NBA/BAA,1949,2016,68,5338,2452,2886,.459,29,5,0,1,
San Antonio Spurs,NBA/ABA,1968,2016,49,3945,2360,1585,.598,43,20,6,5,
Toronto Raptors,NBA,1996,2016,21,1642,712,930,.434,7,3,0,0,
Utah Jazz,NBA,1975,2016,42,3364,1800,1564,.535,25,8,2,0,
Washington Wizards,NBA,1962,2016,55,4418,1985,2433,.449,27,7,4,1,
