Year,Salary Cap,Salary Cap 2015
1984-85,3600000,8023143
1985-86,4233000,9256314
1986-87,4945000,10433167
1987-88,6164000,12492766
1988-89,7232000,13984455
1989-90,9802000,17983649
1990-91,11871000,20890987
1991-92,12500000,21351078
1992-93,14000000,23230131
1993-94,15175000,24540980
1994-95,15964000,25112184
1995-96,23000000,35151495
1996-97,24363000,36377837
1997-98,26900000,39559146
1998-99,30000000,43166200
1999-00,34000000,47324057
2000-01,35500000,48056098
2001-02,42500000,56637835
2002-03,40271000,52473229
2003-04,43840000,55634164
2004-05,43870000,53841473
2005-06,49500000,58855810
2006-07,53135000,61423753
2007-08,55630000,61932440
2008-09,58680000,65561042
2009-10,57700000,63423332
2010-11,58044000,61847771
2011-12,58044000,60601671
2012-13,58044000,59727276
2013-14,58679000,59413106
2014-15,63065000,63065000
2015-16,70000000,
